I am happy,positive
I feel good,positive
This is very good,positive
You are kind,positive
I hate you,negative
I feel terrible,negative
You are very bad,negative
I am good,positive
I like this feeling,positive
I like you,positive
I like the way you smile,positive
I don't like this noise,negative
It is a beautiful day today,positive
I hate this weather,negative
That was a terrible decision,negative
Please stop the noise it is annoying,negative
Wish you all the best,positive
I was amazed by this stunning drawing,positive
